strategy,measure_sec,entry_idx,min_range,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown,avg_outcome
all_patterns,120,150,0.0005,1589961.9752232758,4191,0.7000715819613458,2.2623614943726515,52.51319815749335,-0.10165478794934069,0.7000715819613458
all_patterns,120,150,0.0006,1589961.9752232758,4191,0.7000715819613458,2.2623614943726515,52.51319815749335,-0.10165478794934069,0.7000715819613458
all_patterns,120,180,0.0006,1588015.167984144,4191,0.7000715819613458,2.2608158130708698,52.49402323245601,-0.1016523361406445,0.7000715819613458
all_patterns,120,180,0.0005,1588015.167984144,4191,0.7000715819613458,2.2608158130708698,52.49402323245601,-0.1016523361406445,0.7000715819613458
all_patterns,120,180,0.0004,1588015.167984144,4191,0.7000715819613458,2.2608158130708698,52.49402323245601,-0.1016523361406445,0.7000715819613458
all_patterns,120,180,0.0003,1588015.167984144,4191,0.7000715819613458,2.2608158130708698,52.49402323245601,-0.1016523361406445,0.7000715819613458
all_patterns,120,210,0.0006,1585812.0868208967,4191,0.7000715819613458,2.2590666612843497,52.47737455925553,-0.10167472509950881,0.7000715819613458
all_patterns,120,210,0.0005,1585812.0868208967,4191,0.7000715819613458,2.2590666612843497,52.47737455925553,-0.10167472509950881,0.7000715819613458
all_patterns,120,210,0.0004,1585812.0868208967,4191,0.7000715819613458,2.2590666612843497,52.47737455925553,-0.10167472509950881,0.7000715819613458
all_patterns,120,210,0.0003,1585812.0868208967,4191,0.7000715819613458,2.2590666612843497,52.47737455925553,-0.10167472509950881,0.7000715819613458
chop_only,120,120,0.0004,1536203.5183671033,4246,0.6910032972209138,2.1685497285665725,51.1456113648626,-0.1349037550052704,0.6910032972209138
confirmation,120,120,0.0004,1536203.5183671033,4246,0.6910032972209138,2.1685497285665725,51.1456113648626,-0.1349037550052704,0.6910032972209138
confirmation,120,150,0.0004,1535010.3669941137,4246,0.6910032972209138,2.1676421296082466,51.13870761605281,-0.13491772116292933,0.6910032972209138
chop_only,120,150,0.0004,1535010.3669941137,4246,0.6910032972209138,2.1676421296082466,51.13870761605281,-0.13491772116292933,0.6910032972209138
chop_only,120,180,0.0004,1533057.9407072635,4246,0.6910032972209138,2.1661569701353875,51.1251521485224,-0.13489132857486485,0.6910032972209138
confirmation,120,180,0.0004,1533057.9407072635,4246,0.6910032972209138,2.1661569701353875,51.1251521485224,-0.13489132857486485,0.6910032972209138
confirmation,120,210,0.0004,1530871.7810908812,4246,0.6910032972209138,2.1644940158485473,51.112502927353994,-0.134912049038589,0.6910032972209138
chop_only,120,210,0.0004,1530871.7810908812,4246,0.6910032972209138,2.1644940158485473,51.112502927353994,-0.134912049038589,0.6910032972209138
chop_only,90,120,0.0003,1441968.9020811752,4567,0.6676155025180643,1.948017602529574,51.059261356234956,-0.10164196606734921,0.6676155025180643
confirmation,90,120,0.0003,1441968.9020811752,4567,0.6676155025180643,1.948017602529574,51.059261356234956,-0.10164196606734921,0.6676155025180643
